Specialty,Score Type,Total Questions,Difficulty,phi4-latest-cpu,qwen2.5-14b-cpu,qwen2.5-7b-cpu,qwen3-8b-cpu,llama3.1-8b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,Elixpo_LlamaMedicine-latest-cpu,gemma3-12b-cpu,dolphin3-latest-cpu,qwen3-4b-cpu,phi4-14b-cpu,qwen3-1.7b-cpu,notus-latest-cpu,gemma2-9b-cpu,zephyr-7b-cpu,qwen2.5-1.5b-cpu,mistral-nemo-12b-cpu,llama-pro-latest-cpu,qwen2-7b-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,qwen2.5-3b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,qwen-4b-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,deepseek-r1-8b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,orca-mini-3b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,qwen2.5-0.5b-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu
Orthopedics,Vital,3,Easy,100.0%,100.0%,100.0%,83.3%,100.0%,66.7%,66.7%,33.3%,0.0%,100.0%,66.7%,66.7%,0.0%,33.3%,0.0%,100.0%,66.7%,66.7%,33.3%,100.0%,100.0%,0.0%,66.7%,0.0%,66.7%,66.7%,33.3%,0.0%,33.3%,66.7%,0.0%,66.7%,33.3%,33.3%,0.0%,33.3%,0.0%,66.7%,66.7%,0.0%,33.3%,100.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,0.0%,33.3%,66.7%,0.0%,0.0%,66.7%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,66.7%,33.3%,66.7%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%,33.3%,0.0%,0.0%,66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%
Orthopedics,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,75.0%,37.5%,25.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,25.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,25.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Orthopedics,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,75.0%,37.5%,25.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,25.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,25.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Otolaryngology,General,28,All,100.0%,95.0%,100.0%,97.5%,90.0%,100.0%,95.0%,92.9%,95.0%,90.0%,75.0%,85.0%,0.0%,64.3%,0.0%,70.0%,67.9%,85.0%,67.9%,67.9%,71.4%,71.4%,64.3%,0.0%,85.0%,67.9%,78.6%,0.0%,64.3%,67.9%,0.0%,67.9%,57.1%,67.9%,71.4%,60.7%,0.0%,71.4%,60.7%,0.0%,60.7%,95.0%,0.0%,0.0%,67.9%,60.7%,53.6%,65.0%,53.6%,71.4%,53.6%,50.0%,0.0%,67.9%,67.9%,0.0%,0.0%,45.0%,0.0%,60.7%,53.6%,39.3%,0.0%,39.3%,35.7%,25.0%,50.0%,25.0%,0.0%,0.0%,0.0%,35.7%,40.0%,40.0%,39.3%,10.7%,0.0%,0.0%,10.7%,17.9%,0.0%,10.7%,0.0%,0.0%,0.0%,10.7%
Otolaryngology,Vital,13,All,100.0%,100.0%,100.0%,100.0%,60.0%,100.0%,80.0%,84.6%,80.0%,80.0%,46.2%,60.0%,0.0%,23.1%,0.0%,100.0%,38.5%,80.0%,30.8%,38.5%,38.5%,53.8%,30.8%,0.0%,100.0%,30.8%,53.8%,0.0%,23.1%,30.8%,0.0%,30.8%,7.7%,30.8%,46.2%,23.1%,0.0%,53.8%,15.4%,0.0%,23.1%,80.0%,0.0%,0.0%,53.8%,23.1%,0.0%,20.0%,0.0%,38.5%,0.0%,46.2%,0.0%,30.8%,53.8%,0.0%,0.0%,100.0%,0.0%,23.1%,61.5%,15.4%,0.0%,0.0%,0.0%,38.5%,30.8%,46.2%,0.0%,0.0%,0.0%,15.4%,80.0%,80.0%,0.0%,15.4%,0.0%,0.0%,0.0%,15.4%,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%
Otolaryngology,General,20,Easy,100.0%,95.0%,100.0%,97.5%,90.0%,100.0%,95.0%,100.0%,95.0%,90.0%,100.0%,85.0%,0.0%,90.0%,0.0%,70.0%,95.0%,85.0%,95.0%,95.0%,100.0%,85.0%,90.0%,0.0%,85.0%,95.0%,95.0%,0.0%,90.0%,95.0%,0.0%,95.0%,80.0%,85.0%,85.0%,85.0%,0.0%,90.0%,85.0%,0.0%,85.0%,95.0%,0.0%,0.0%,75.0%,70.0%,75.0%,65.0%,75.0%,100.0%,75.0%,60.0%,0.0%,95.0%,80.0%,0.0%,0.0%,45.0%,0.0%,85.0%,60.0%,45.0%,0.0%,55.0%,50.0%,35.0%,70.0%,30.0%,0.0%,0.0%,0.0%,50.0%,40.0%,40.0%,55.0%,5.0%,0.0%,0.0%,15.0%,15.0%,0.0%,15.0%,0.0%,0.0%,0.0%,15.0%
Otolaryngology,Vital,5,Easy,100.0%,100.0%,100.0%,100.0%,60.0%,100.0%,80.0%,100.0%,80.0%,80.0%,100.0%,60.0%,0.0%,60.0%,0.0%,100.0%,100.0%,80.0%,80.0%,100.0%,100.0%,80.0%,80.0%,0.0%,100.0%,80.0%,80.0%,0.0%,60.0%,80.0%,0.0%,80.0%,20.0%,40.0%,60.0%,60.0%,0.0%,100.0%,40.0%,0.0%,60.0%,80.0%,0.0%,0.0%,60.0%,0.0%,0.0%,20.0%,0.0%,100.0%,0.0%,80.0%,0.0%,80.0%,80.0%,0.0%,0.0%,100.0%,0.0%,60.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,80.0%,100.0%,0.0%,0.0%,0.0%,40.0%,80.0%,80.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%
Otolaryngology,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,37.5%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Otolaryngology,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,37.5%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pathology Bacteria,General,28,All,95.0%,75.0%,75.0%,85.0%,95.0%,95.0%,95.0%,71.4%,90.0%,90.0%,67.9%,80.0%,0.0%,67.9%,0.0%,80.0%,67.9%,75.0%,67.9%,64.3%,67.9%,71.4%,60.7%,0.0%,70.0%,64.3%,64.3%,0.0%,60.7%,64.3%,0.0%,64.3%,70.8%,64.3%,64.3%,64.3%,0.0%,67.9%,67.9%,0.0%,64.3%,85.0%,0.0%,0.0%,60.7%,71.4%,57.1%,70.0%,60.7%,57.1%,57.1%,32.1%,0.0%,53.6%,28.6%,0.0%,0.0%,45.0%,0.0%,39.3%,21.4%,60.7%,0.0%,53.6%,50.0%,25.0%,28.6%,14.3%,0.0%,0.0%,0.0%,35.7%,10.0%,10.0%,32.1%,21.4%,0.0%,0.0%,10.7%,17.9%,0.0%,14.3%,0.0%,0.0%,0.0%,7.1%
Pathology Bacteria,Vital,12,All,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,33.3%,50.0%,75.0%,25.0%,50.0%,0.0%,25.0%,0.0%,100.0%,25.0%,75.0%,25.0%,25.0%,25.0%,42.9%,25.0%,0.0%,100.0%,16.7%,16.7%,0.0%,16.7%,25.0%,0.0%,16.7%,18.8%,16.7%,25.0%,16.7%,0.0%,33.3%,25.0%,0.0%,25.0%,75.0%,0.0%,0.0%,33.3%,33.3%,0.0%,0.0%,8.3%,25.0%,0.0%,25.0%,0.0%,0.0%,25.0%,0.0%,0.0%,100.0%,0.0%,16.7%,25.0%,16.7%,0.0%,0.0%,8.3%,33.3%,8.3%,33.3%,0.0%,0.0%,0.0%,8.3%,0.0%,0.0%,8.3%,16.7%,0.0%,0.0%,0.0%,8.3%,0.0%,8.3%,0.0%,0.0%,0.0%,0.0%
Pathology Bacteria,General,20,Easy,95.0%,75.0%,75.0%,85.0%,95.0%,95.0%,95.0%,95.0%,90.0%,90.0%,95.0%,80.0%,0.0%,95.0%,0.0%,80.0%,95.0%,75.0%,95.0%,90.0%,95.0%,85.2%,85.0%,0.0%,70.0%,90.0%,90.0%,0.0%,85.0%,85.0%,0.0%,90.0%,85.0%,85.0%,85.0%,90.0%,0.0%,90.0%,95.0%,0.0%,85.0%,85.0%,0.0%,0.0%,80.0%,80.0%,80.0%,70.0%,80.0%,80.0%,80.0%,45.0%,0.0%,75.0%,35.0%,0.0%,0.0%,45.0%,0.0%,50.0%,25.0%,75.0%,0.0%,75.0%,70.0%,35.0%,40.0%,20.0%,0.0%,0.0%,0.0%,50.0%,10.0%,10.0%,45.0%,25.0%,0.0%,0.0%,15.0%,20.0%,0.0%,20.0%,0.0%,0.0%,0.0%,10.0%
Pathology Bacteria,Vital,4,Easy,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,50.0%,75.0%,75.0%,50.0%,0.0%,75.0%,0.0%,100.0%,75.0%,75.0%,75.0%,75.0%,75.0%,66.7%,75.0%,0.0%,100.0%,50.0%,50.0%,0.0%,50.0%,50.0%,0.0%,50.0%,37.5%,25.0%,50.0%,50.0%,0.0%,75.0%,75.0%,0.0%,50.0%,75.0%,0.0%,0.0%,75.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%,0.0%,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,25.0%,50.0%,0.0%,0.0%,0.0%,25.0%,100.0%,25.0%,100.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,25.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%
Pathology Bacteria,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,50.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pathology Bacteria,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,50.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pathology Cancer,General,28,All,90.0%,95.0%,95.0%,97.5%,95.0%,85.0%,95.0%,78.6%,85.0%,90.0%,64.3%,70.0%,0.0%,64.3%,0.0%,70.0%,60.7%,75.0%,53.6%,53.6%,60.7%,64.6%,50.0%,0.0%,55.0%,53.6%,50.0%,0.0%,57.1%,50.0%,0.0%,60.7%,66.7%,71.4%,67.9%,60.7%,0.0%,57.1%,53.6%,0.0%,60.7%,90.0%,0.0%,0.0%,71.4%,60.7%,53.6%,45.0%,53.6%,57.1%,53.6%,28.6%,0.0%,57.1%,42.9%,0.0%,0.0%,35.0%,0.0%,39.3%,53.6%,50.0%,0.0%,42.9%,42.9%,28.6%,39.3%,21.4%,0.0%,0.0%,0.0%,32.1%,15.0%,15.0%,39.3%,14.3%,0.0%,0.0%,32.1%,21.4%,0.0%,10.7%,0.0%,0.0%,0.0%,3.6%
Pathology Cancer,Vital,13,All,80.0%,100.0%,100.0%,100.0%,80.0%,80.0%,80.0%,69.2%,60.0%,100.0%,30.8%,40.0%,0.0%,38.5%,0.0%,80.0%,30.8%,80.0%,15.4%,30.8%,23.1%,38.9%,15.4%,0.0%,100.0%,7.7%,15.4%,0.0%,15.4%,15.4%,0.0%,23.1%,16.7%,38.5%,38.5%,23.1%,0.0%,30.8%,23.1%,0.0%,23.1%,80.0%,0.0%,0.0%,53.8%,23.1%,0.0%,0.0%,0.0%,30.8%,0.0%,38.5%,0.0%,15.4%,46.2%,0.0%,0.0%,60.0%,0.0%,15.4%,76.9%,23.1%,0.0%,0.0%,0.0%,46.2%,23.1%,38.5%,0.0%,0.0%,0.0%,0.0%,20.0%,20.0%,15.4%,0.0%,0.0%,0.0%,7.7%,23.1%,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%
Pathology Cancer,General,20,Easy,90.0%,95.0%,95.0%,97.5%,95.0%,85.0%,95.0%,85.0%,85.0%,90.0%,90.0%,70.0%,0.0%,85.0%,0.0%,70.0%,85.0%,75.0%,75.0%,75.0%,85.0%,75.0%,70.0%,0.0%,55.0%,75.0%,65.0%,0.0%,80.0%,65.0%,0.0%,85.0%,80.0%,75.0%,80.0%,80.0%,0.0%,80.0%,75.0%,0.0%,75.0%,90.0%,0.0%,0.0%,85.0%,75.0%,75.0%,45.0%,75.0%,80.0%,75.0%,40.0%,0.0%,80.0%,45.0%,0.0%,0.0%,35.0%,0.0%,55.0%,50.0%,60.0%,0.0%,60.0%,60.0%,35.0%,55.0%,30.0%,0.0%,0.0%,0.0%,45.0%,15.0%,15.0%,50.0%,20.0%,0.0%,0.0%,45.0%,25.0%,0.0%,15.0%,0.0%,0.0%,0.0%,5.0%
Pathology Cancer,Vital,5,Easy,80.0%,100.0%,100.0%,100.0%,80.0%,80.0%,80.0%,80.0%,60.0%,100.0%,80.0%,40.0%,0.0%,80.0%,0.0%,80.0%,80.0%,80.0%,40.0%,80.0%,60.0%,60.0%,40.0%,0.0%,100.0%,20.0%,20.0%,0.0%,40.0%,20.0%,0.0%,60.0%,30.0%,0.0%,40.0%,40.0%,0.0%,80.0%,60.0%,0.0%,20.0%,80.0%,0.0%,0.0%,80.0%,20.0%,0.0%,0.0%,0.0%,80.0%,0.0%,100.0%,0.0%,40.0%,60.0%,0.0%,0.0%,60.0%,0.0%,40.0%,100.0%,20.0%,0.0%,0.0%,0.0%,100.0%,60.0%,100.0%,0.0%,0.0%,0.0%,0.0%,20.0%,20.0%,20.0%,0.0%,0.0%,0.0%,20.0%,40.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%
Pathology Cancer,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,62.5%,37.5%,12.5%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,25.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pathology Cancer,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,62.5%,37.5%,12.5%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,25.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pathology Chemical/Clinical Biochemistry,General,28,All,95.0%,90.0%,85.0%,90.0%,90.0%,90.0%,85.0%,71.4%,90.0%,85.0%,67.9%,85.0%,0.0%,64.3%,0.0%,65.0%,64.3%,70.0%,67.9%,64.3%,60.7%,50.0%,67.9%,0.0%,55.0%,53.6%,57.1%,0.0%,67.9%,64.3%,0.0%,64.3%,60.7%,67.9%,64.3%,60.7%,0.0%,60.7%,60.7%,0.0%,57.1%,60.0%,0.0%,0.0%,46.4%,60.7%,50.0%,60.0%,50.0%,60.7%,50.0%,35.7%,0.0%,53.6%,32.1%,0.0%,0.0%,30.0%,0.0%,46.4%,42.9%,57.1%,0.0%,46.4%,39.3%,28.6%,42.9%,25.0%,0.0%,0.0%,0.0%,32.1%,25.0%,25.0%,28.6%,14.3%,0.0%,0.0%,17.9%,10.7%,0.0%,14.3%,0.0%,0.0%,0.0%,7.1%
Pathology Chemical/Clinical Biochemistry,Vital,13,All,100.0%,100.0%,100.0%,90.0%,100.0%,80.0%,100.0%,53.8%,80.0%,80.0%,38.5%,100.0%,0.0%,38.5%,0.0%,100.0%,38.5%,60.0%,46.2%,46.2%,38.5%,38.5%,38.5%,0.0%,100.0%,15.4%,15.4%,0.0%,38.5%,30.8%,0.0%,30.8%,30.8%,38.5%,30.8%,23.1%,0.0%,46.2%,30.8%,0.0%,23.1%,80.0%,0.0%,0.0%,7.7%,38.5%,0.0%,0.0%,0.0%,38.5%,0.0%,23.1%,0.0%,30.8%,38.5%,0.0%,0.0%,80.0%,0.0%,30.8%,76.9%,23.1%,0.0%,0.0%,0.0%,38.5%,38.5%,38.5%,0.0%,0.0%,0.0%,15.4%,60.0%,60.0%,7.7%,7.7%,0.0%,0.0%,7.7%,15.4%,0.0%,15.4%,0.0%,0.0%,0.0%,0.0%
Pathology Chemical/Clinical Biochemistry,General,20,Easy,95.0%,90.0%,85.0%,90.0%,90.0%,90.0%,85.0%,90.0%,90.0%,85.0%,95.0%,85.0%,0.0%,90.0%,0.0%,65.0%,90.0%,70.0%,90.0%,85.0%,85.0%,65.0%,95.0%,0.0%,55.0%,75.0%,75.0%,0.0%,95.0%,85.0%,0.0%,90.0%,85.0%,85.0%,90.0%,80.0%,0.0%,80.0%,85.0%,0.0%,80.0%,60.0%,0.0%,0.0%,65.0%,65.0%,70.0%,60.0%,70.0%,85.0%,70.0%,50.0%,0.0%,75.0%,40.0%,0.0%,0.0%,30.0%,0.0%,65.0%,30.0%,65.0%,0.0%,65.0%,55.0%,40.0%,60.0%,35.0%,0.0%,0.0%,0.0%,45.0%,25.0%,25.0%,35.0%,15.0%,0.0%,0.0%,25.0%,5.0%,0.0%,15.0%,0.0%,0.0%,0.0%,10.0%
Pathology Chemical/Clinical Biochemistry,Vital,5,Easy,100.0%,100.0%,100.0%,90.0%,100.0%,80.0%,100.0%,100.0%,80.0%,80.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,60.0%,100.0%,100.0%,100.0%,80.0%,100.0%,0.0%,100.0%,40.0%,20.0%,0.0%,100.0%,60.0%,0.0%,80.0%,80.0%,60.0%,80.0%,40.0%,0.0%,100.0%,80.0%,0.0%,60.0%,80.0%,0.0%,0.0%,20.0%,20.0%,0.0%,0.0%,0.0%,100.0%,0.0%,60.0%,0.0%,80.0%,80.0%,0.0%,0.0%,80.0%,0.0%,80.0%,80.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,40.0%,60.0%,60.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%
Pathology Chemical/Clinical Biochemistry,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,25.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,25.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Pathology Chemical/Clinical Biochemistry,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,25.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,25.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Pathology Hematology,General,28,All,95.0%,95.0%,95.0%,92.5%,85.0%,90.0%,85.0%,85.7%,80.0%,90.0%,75.0%,80.0%,0.0%,67.9%,0.0%,75.0%,60.7%,65.0%,57.1%,60.7%,64.3%,75.0%,57.1%,0.0%,60.0%,60.7%,67.9%,0.0%,60.7%,64.3%,0.0%,64.3%,57.1%,82.1%,57.1%,64.3%,0.0%,64.3%,60.7%,0.0%,57.1%,65.0%,0.0%,0.0%,64.3%,67.9%,57.1%,70.0%,57.1%,50.0%,57.1%,32.1%,0.0%,53.6%,53.6%,0.0%,0.0%,30.0%,0.0%,35.7%,35.7%,42.9%,0.0%,46.4%,50.0%,17.9%,17.9%,17.9%,0.0%,0.0%,0.0%,21.4%,5.0%,5.0%,21.4%,32.1%,0.0%,0.0%,25.0%,17.9%,0.0%,7.1%,0.0%,0.0%,0.0%,10.7%
